Testcase ID,Target_URL,Locator_LoginBTN,Locator_AddressBTN,Locator_NewBTN,Locator_Username,Locator_Password,Locator_FN,Locator_LN,Locator_Address1,Locator_City,Locator_Postcode,Locator_Country,Locator_Region,Locator_ContinueBTN,Locator_LogoutBTN,Locator_Message,Username,Password,First Name,Last Name,Address1,City,Postcode,Country,Region,Type,Expected Message
TC-004-001,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-address""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,12345,United Kingdom,Aberdeen,Text,Your address has been successfully added
TC-004-002,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[7]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,1,United Kingdom,Aberdeen,Text,Postcode must be between 2 and 10 characters!
TC-004-003,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-address""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,12,United Kingdom,Aberdeen,Text,Your address has been successfully added
TC-004-004,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-address""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,123,United Kingdom,Aberdeen,Text,Your address has been successfully added
TC-004-005,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-address""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,123456789,United Kingdom,Aberdeen,Text,Your address has been successfully added
TC-004-006,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-address""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,1234567890,United Kingdom,Aberdeen,Text,Your address has been successfully added
TC-004-007,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[7]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,12345678900,United Kingdom,Aberdeen,Text,Postcode must be between 2 and 10 characters!
TC-004-008,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-address""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,12345,United Kingdom,Aberdeen,Text,Your address has been successfully added
TC-004-009,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[1]/div/div",nghiep.test@gmail.com,QWERT@2004,,Doe,123 Main St,New York,12345,United Kingdom,Aberdeen,Text,First Name must be between 1 and 32 characters!
TC-004-010,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[1]/div/div",nghiep.test@gmail.com,QWERT@2004,FirstNameIsWayTooLongForThisSpecificField33,Doe,123 Main St,New York,12345,United Kingdom,Aberdeen,Text,First Name must be between 1 and 32 characters!
