Testcase ID,Target_URL,Locator_LoginBTN,Locator_EditBTN,Locator_Username,Locator_Password,Locator_FN,Locator_LN,Locator_Email,Locator_Telephone,Locator_ContinueBTN,Locator_LogoutBTN,Locator_Message,Username,Password,First Name,Last Name,E-MAIL,Telephone,Type,Expected Message
TC-003-001,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-account""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,nghiep.test@gmail.com,0123456789,Text,Success: Your account has been successfully updated.
TC-003-002,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[4]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,nghiep.test@gmail.com,01,Text,Telephone must be between 3 and 32 characters!
TC-003-003,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-account""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,nghiep.test@gmail.com,012,Text,Success: Your account has been successfully updated.
TC-003-004,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-account""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,nghiep.test@gmail.com,0123,Text,Success: Your account has been successfully updated.
TC-003-005,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-account""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,nghiep.test@gmail.com,0123456789012345678901234567890,Text,Success: Your account has been successfully updated.
TC-003-006,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-account""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,nghiep.test@gmail.com,01234567890123456789012345678900,Text,Success: Your account has been successfully updated.
TC-003-007,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[4]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,nghiep.test@gmail.com,012345678901234567890123456789000,Text,Telephone must be between 3 and 32 characters!
TC-003-008,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-account""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,nghiep.test@gmail.com,0123456789,Text,Success: Your account has been successfully updated.
TC-003-009,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[1]/div/div",nghiep.test@gmail.com,QWERT@2004,,Doe,nghiep.test@gmail.com,0123456789,Text,First Name must be between 1 and 32 characters!
TC-003-010,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[1]/div/div",nghiep.test@gmail.com,QWERT@2004,FirstNameIsWayTooLongForThisSpecificField33,Doe,nghiep.test@gmail.com,0123456789,Text,First Name must be between 1 and 32 characters!
TC-003-011,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[2]/div/div",nghiep.test@gmail.com,QWERT@2004,John,,nghiep.test@gmail.com,0123456789,Text,Last Name must be between 1 and 32 characters!
TC-003-012,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[2]/div/div",nghiep.test@gmail.com,QWERT@2004,John,LastNameIsWayTooLongForThisSpecificField33,nghiep.test@gmail.com,0123456789,Text,Last Name must be between 1 and 32 characters!
TC-003-013,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[3]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,,0123456789,Text,E-Mail Address does not appear to be valid!
TC-003-014,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]",input-email,nghiep.test@gmail.com,QWERT@2004,John,Doe,nghiep.testgmail.com,0123456789,Validation,Please include
TC-003-015,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[1]","//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-email""]","//*[@id=""input-telephone""]","//*[@id=""content""]/form/div/div[2]/input","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[3]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,nghiep.test@gmail,0123456789,Text,E-Mail Address does not appear to be valid!
